00000b24,34,"「それっ！　うう～～～～～～～ん」","T 's it!
U~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~","Т это!
У~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~","T 's it!
U~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~"
00000b74,26,"「がんばれ！　がんばれ！」","I'm sorry!","- Прости!","Es tut mir leid!"
00000ba0,22,"シャッターチャンスだ！","ter chance!","ter шанс!","Eine Chance!"
00000c58,20,"（撮るまでもないな）","(It is not until you take it)","(Это не до тех пор, пока вы не возьмете его)","(Es ist nicht, bis du es nimmst)"
00000cac,22,"「あううぅぅ～～～っ」","」","」","!"
00000ce4,42,"「柚ノ木さん、全然一気に引き寄せてないよ」","Yuzunoki, I can't pull it all at once.","Юзуноки, я не могу вытащить его сразу.","Yuzunoki, ich kann es nicht auf einmal ziehen."
00000d3c,10,"「あう！」","!」","!」","!"
00000db0,22,"ドッシ～～～～～～ン！","Home","Начало","Home"
00000e70,18,"「いったぁぁ～い」","」","」","!"
00000eb0,18,"「だ、大丈夫！？」","“Well, right?”","— Ну, правда? »","„Nun, richtig? „"
00000efc,22,"「私じゃ無理みたい～」","I want to be impossible","«Хочу быть невозможным»","Ich will unmöglich sein"
00000ba0,22,"シャッターチャンスだ！","ter chance!","ter шанс!","Eine Chance!"
00000c58,20,"（撮るまでもないな）","(It is not until you take it)","(Это не до тех пор, пока вы не возьмете его)","(Es ist nicht, bis du es nimmst)"
00001024,20,"「ほら、つかまって」","Have,」","Хаве, 」","Have, verhalten"
00001088,16,"「ありがとう～」","Thank you","Спасибо","Danke."
00001168,40,"「根本的に、腕の力が足りないみたいだね」","It seems that the strength of the arm is not
enough fundamentally","«Считается, что сила руки недостаточно
принципиально»","Es scheint, dass die Stärke des Arms nicht
ausreichend grundlegend ist"
000011f0,75,"「毎日、フライパンを振ってるから、
　普通の子よりはあると思うんだけどなぁ」","Every day, I'm doing a frying pan, so I think
it's more than a normal child.","Каждый день, я делаю сковороду, поэтому я думаю,
что это больше, чем обычный ребенок.","Jeden Tag mache ich eine Pfanne, also denke ich,
es ist mehr als ein normales Kind."
00001270,12,"「じゃあ…」","」","」","!"
000012a0,47,"（胸が重いから…なんて、
　言わない方がいいな）","(It is better not to say because the chest is
heavy…)","(Лучше не сказать, потому что сундуки тяжело…)","(Es ist besser nicht zu sagen, weil die Brust
schwer ist…)"
0000131c,30,"「じゃあ…何？　どうかした？」","“What is it?”","— Что это? »","„Was ist das? „"
0000135c,34,"「い、いや、何でもないよ。はは…」","No, no, no, no. Home","- Нет, нет, нет. Начало","Nein, nein, nein. Home"
000003c0,28,"「あ、\p01君。懸垂の練習～」","","",""
0000056c,22,"「\p01君はできるの？」","","",""
000013dc,22,"「そう？　変な\p01君」","","",""
